company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
DRASKOCZY VIOLINS LIMITED,10731465,Active,Private limited company,,,2017-04-20,,,32200,71-75 Shelton Street London WC2H 9JQ England,WC2H 9JQ,-0.123615,51.514897
DFE BUZZARDS FIELD LTD,15468680,Active,Private limited company,,,2024-02-05,,,32200 47591,71 Meadow Street Weston-Super-Mare BS23 1QL England,BS23 1QL,-2.974836,51.348811
JAMMY ENTERPRISE LTD,SC423591,Active,Private limited company,,,2012-05-08,,,32200 62011,Taigh-Na-Collie Taigh-Na-Collie East Linton EH40 3DZ Scotland,EH40 3DZ,-2.682085,56.009266
BEECHER ACOUSTICS LIMITED,06048913,Active,Private limited company,,,2007-01-11,,,32200 33190 68100,1 Quarry High Street Headington Oxford OX3 8JT ,OX3 8JT,-1.199675,51.758903
SKY SOUND LTD,16241236,Active,Private limited company,,,2025-02-10,,,32200 46431 47430 47910,86-90 Paul Street London EC2A 4NE England,EC2A 4NE,-0.083602,51.525617
1602 GROUP LIMITED,04366768,Active,Private limited company,,,2002-02-05,,,32200,Lewis House Great Chesterford Court Great Chesterford CB10 1PF ,CB10 1PF,0.191512,52.061728
DALY ORGANS LTD,16237046,Active,Private limited company,,,2025-02-07,,,32200,7 Grandison Gardens Whittington Worcester WR5 2QW England,WR5 2QW,-2.180182,52.182513
MORTISE AND TENON WOOD ART LIMITED,12383006,Active,Private limited company,,,2020-01-02,,,31090 32200 90030 95240,17 Green Lanes London N16 9BS England,N16 9BS,-0.086757,51.552484
CREATIVE MULE LTD,12351136,Active,Private limited company,,,2019-12-05,,,32200 73110 86900,287 Highbury New Park London N5 2TX England,N5 2TX,-0.092603,51.558946
VIBE SOUND LTD,15988564,Active,Private limited company,,,2024-10-01,,,32200 46491 47789 47910,"Royal Plaza Apartment 202, 2 Westfield Terrace Sheffield S1 4GD United Kingdom",S1 4GD,-1.477357,53.380335
MANIFOLD RESEARCH CENTRE LTD,SC709592,Active,Private limited company,,,2021-09-15,,,32200,5 South Charlotte Street Edinburgh EH2 4AN Scotland,EH2 4AN,-3.205768,55.950922
DEACCI LTD,NI620405,Active,Private limited company,,,2013-09-13,,,32200,17 Station Road Jonesborough Newry BT35 8JH ,BT35 8JH,-6.390019,54.107344
MAPONOS MANUFACTURING LTD,16162382,Active,Private limited company,,,2025-01-03,,,32200 71129,221 Church Lane Lowton Warrington WA3 2RZ England,WA3 2RZ,-2.579684,53.473972
HOOKER CUSTOMS LIMITED,09215822,Dissolved,Private limited company,,2025-02-18,2014-09-12,,,32200,88 Blenheim Road Northolt UB5 4TS England,UB5 4TS,-0.358936,51.550815
ES SESSION CHANTERS LIMITED,SC802261,Active,Private limited company,,,2024-03-08,,,32200,Unit 16b Houston Mains Holdings Broxburn EH52 6PA United Kingdom,EH52 6PA,-3.517198,55.921709
MILES FLUTES LTD,13713193,Dissolved,Private limited company,,2025-03-18,2021-10-29,,,32200 47591,13713193 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
FANO GUITARS (EUROPE) LIMITED,14517715,Dissolved,Private limited company,,2025-03-18,2022-12-01,,,32200,"The Engineering Works, Sackville Cottage High Street Hartfield TN7 4AE England",TN7 4AE,0.108113,51.100062
A&N MUSIC LTD,15531387,Active,Private limited company,,,2024-02-29,,,32200 46491 47591 59200,Level One Basecamp Liverpool 49 Jamaica Street Liverpool L1 0AH United Kingdom,L1 0AH,-2.980129,53.395385
SONUUS LIMITED,06800737,Active,Private limited company,,,2009-01-26,,,32200,Abbey House Farnborough Road Farnborough GU14 7NA United Kingdom,GU14 7NA,-0.752484,51.295957
THE GUITAR COMPANY LTD,14194497,Active,Private limited company,,,2022-06-24,,,32200,Twelve Quays House Egerton Wharf Wirral CH41 1LD United Kingdom,CH41 1LD,-3.018401,53.399092
CGN VIOLINS LIMITED,08016734,Active,Private limited company,,,2012-04-03,,,32200,Bay Lodge 36 Harefield Road Uxbridge UB8 1PH ,UB8 1PH,-0.480923,51.550165
MATT MARTIN GUITARS LTD,14667105,Active,Private limited company,,,2023-02-16,,,32200,47 Meareway Westhay Glastonbury BA6 9TZ England,BA6 9TZ,-2.803309,51.178202
R & S YOUNG ORGAN BUILDERS LIMITED,09474934,Active,Private limited company,,,2015-03-06,,,32200,24 Carlton Road Bilton Rugby CV22 7PB England,CV22 7PB,-1.284425,52.363614
SIMON LOCKE DESIGNS LIMITED,12336017,Active,Private limited company,,,2019-11-27,,,31090 32200,3 Lipman Way Malmesbury SN16 9FH United Kingdom,SN16 9FH,-2.083977,51.577766
LIPSON GUITARS LTD,10959460,Active,Private limited company,,,2017-09-12,,,32200,Higher Grange Grange Road Ellesmere SY12 9DH United Kingdom,SY12 9DH,-2.902308,52.917193
LITE JAM LIMITED,16135465,Active,Private limited company,,,2024-12-13,,,32200,14 Birchwood Drive Hambleton Poulton-Le-Fylde FY6 9AQ United Kingdom,FY6 9AQ,-2.95719,53.875621
MATTHEW WING VIOLINS LTD,11220334,Active,Private limited company,,,2018-02-22,,,32200,7 Hurst Road London E17 3BL England,E17 3BL,-0.014663,51.588911
GEORGE LOWDEN GUITARS LIMITED,NI054467,Active,Private limited company,,,2005-04-02,,,32200,114 Saintfield Road Ballynahinch Saintfield BT24 7JS ,BT24 7JS,-5.789986,54.422488
STEEL PAN PROJECT,11995312,Dissolved,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,2024-12-24,2019-05-14,,,32200 85520 90010,11995312 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
RICHARD SMITH (M I) LIMITED,04995319,Active,Private limited company,,,2003-12-15,,,32200,Heritage House Murton Way Osbaldwick York YO19 5UW United Kingdom,YO19 5UW,-1.030802,53.959698
OSPREY METAL FINISHERS LTD,07604367,Active,Private limited company,,,2011-04-14,,,32200,Unit 2 32-34 Station Close Potters Bar EN6 1TL England,EN6 1TL,-0.193516,51.699035
GUITAR COMPANY ALBA LIMITED,SC729190,Active,Private limited company,,,2022-04-11,,,32200 46491 62020 71121,145 Blairbeth Road Rutherglen Glasgow G73 5BU Scotland,G73 5BU,-4.196764,55.814505
MAYPOLE BELLS LIMITED,15598880,Active,Private limited company,,,2024-03-27,,,13940 32200,Tree Shadows Highsted Valley Rodmersham Sittingbourne ME9 0AD England,ME9 0AD,0.739721,51.31538
QUARRY ARTS LIMITED,09013880,Dissolved,Private limited company,,2025-04-29,2014-04-28,,,32200 85590 90020 90030,23 Turner Lane Addingham Ilkley LS29 0LN ,LS29 0LN,-1.901258,53.945351
MARKSTI700 LTD,15310323,Dissolved,Private limited company,,2025-04-29,2023-11-27,,,32200 46491 47910 59200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
GREENWICH PIANO SERVICES LIMITED,15631039,Active,Private limited company,,,2024-04-09,,,32200 46491 96090,Flat 6 Royal Hill Court 229 Greenwich High Road London SE10 8PH United Kingdom,SE10 8PH,-0.011378,51.478937
SERENITY DRUMS LIMITED,15431592,Active,Private limited company,,,2024-01-22,,,32200,"C/O Allen, West And Foster Travel House Buxton Road Bakewell DE45 1BZ United Kingdom",DE45 1BZ,-1.676706,53.213688
LOUDER THAN LIFE LIMITED,06531392,Active,Private limited company,,,2008-03-11,,,32200 85600,71-75 Shelton Street London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
RECYCLED SUPERSONIC LIMITED,13065769,Active,Private limited company,,,2020-12-06,,,32200 47591 47910,5 Hurstwood Road London NW11 0AS England,NW11 0AS,-0.201732,51.588034
INTIME CUSTOMS LTD,13624651,Active,Private limited company,,,2021-09-15,,,18201 32200 46690,"First Floor, 14-15 Berners Street London W1T 3LJ United Kingdom",W1T 3LJ,-0.136402,51.517322
INTIME AUDIO LIMITED,11516272,Active,Private limited company,,,2018-08-14,,,32200 47591,"First Floor, 14-15 Berners Street London W1T 3LJ United Kingdom",W1T 3LJ,-0.136402,51.517322
ODDBALL STUDIOS LIMITED,11101189,Active,Private limited company,,,2017-12-07,,,32200,"Sterling House 71 Francis Road, Edgbaston, Birmingham B16 8SP United Kingdom",B16 8SP,-1.922838,52.473218
THE BAGPIPE REFURB CO LTD,SC692259,Active,Private limited company,,,2021-03-15,,,32200,Unit 6 Deans Industrial Estate St Andrews Way Livingston EH54 8GZ Scotland,EH54 8GZ,-3.566576,55.898922
THE MUSIC PROJECT LIMITED,13901146,Active,Private limited company,,,2022-02-08,,,32200 74100 90030,71-75 Shelton Street London WC2H 9JQ England,WC2H 9JQ,-0.123615,51.514897
THE MUSIC GYM LTD,09490656,Active,Private limited company,,,2015-03-14,,,18201 32200 59120 60200,"Unit B11b, Enterprise House Pemberton Business Centre Richmond Hill Pemberton WN5 8AA United Kingdom",WN5 8AA,-2.679261,53.537373
FINGERBONE LTD,11321877,Active,Private limited company,,,2018-04-20,,,32200,90 Weald Road Sevenoaks TN13 1QQ United Kingdom,TN13 1QQ,0.193075,51.258987
DIAGO LTD.,06169811,Active,Private limited company,,,2007-03-19,,,32200 46190 72190,46 Belmont Road Poole BH14 0DB England,BH14 0DB,-1.944018,50.727632
TONETECH LTD.,06067591,Active,Private limited company,,,2007-01-25,,,32200,"Unit 2 Trada Business Campus Stocking Lane, Hughenden Valley High Wycombe HP14 4NB United Kingdom",HP14 4NB,-0.76565,51.670382
IVISON GUITARS LTD,16293141,Active,Private limited company,,,2025-03-05,,,32200,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
ARCHIE LYLE LTD,SC840123,Active,Private limited company,,,2025-03-05,,,32200,The Lighthouse Heugh Road North Berwick EH39 5PX United Kingdom,EH39 5PX,-2.70351,56.0524
TARIAN DRUMS CYFYNGEDIG,12770400,Active,Private limited company,,,2020-07-27,,,32200,20 Heol Miskin Pontyclun CF72 9AJ Wales,CF72 9AJ,-3.386923,51.525313
"GERMANY CARFOENY MUSICAL INSTRUMENTS GROUP CO., LTD.",14512901,Dissolved,Private limited company,,2025-05-06,2022-11-29,,,32200 47591,14512901 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
PICKSMITH LTD,13541673,Dissolved,Private limited company,,2025-05-13,2021-07-31,,,32120 32200,2 Stoney Royd Barnsley S71 3NU England,S71 3NU,-1.478306,53.586905
MELODIC FUSION LTD,15410338,Dissolved,Private limited company,,2025-06-03,2024-01-13,,,32200 59200,15410338 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
PREMIER HERITAGE PERCUSSION LTD,12392397,Dissolved,Private limited company,,2025-06-10,2020-01-08,,,32200,Unit 1b Fairway Cannock WS11 0DJ United Kingdom,WS11 0DJ,-2.035375,52.67881
WOODMILL PRODUCTIONS LIMITED,16436883,Active,Private limited company,,,2025-05-08,,,31090 32200 90020,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
GIGAHEARTS LIMITED,16494355,Active,Private limited company,,,2025-06-03,,,32200 47789,2 Stirrup Brook Grove Worsley Manchester M28 1SH England,M28 1SH,-2.427564,53.499701
RADHE RADHE MUSIC STUDIO UK LIMITED,16462664,Active,Private limited company,,,2025-05-20,,,32200 47591 47630 59200,Silverstream House 45 Fitzroy Street London W1T 6EB England,W1T 6EB,-0.140519,51.523817
MAGNALUTE LTD,15804927,Active,Private limited company,,,2024-06-26,,,32200 46491 58190 59200,70-72 The Havens Ipswich IP3 9BF England,IP3 9BF,1.220877,52.029246
TAINT LTD,16454201,Active,Private limited company,,,2025-05-15,,,32200,33 Blake Lane Birmingham B9 5QT England,B9 5QT,-1.841929,52.476833
BAMBAH MUSICALS LTD,12969065,Dissolved,Private limited company,,2025-06-17,2020-10-22,,,32200 46491 47591,Unit 8 Rowleys Green Lane Coventry CV6 6AN England,CV6 6AN,-1.496442,52.451561
NOVABRIDGE TRADING LTD,16540489,Active,Private limited company,,,2025-06-25,,,32200,61 Bridge Street Kington HR5 3DJ United Kingdom,HR5 3DJ,-3.028491,52.20349
NIWL GUITARS LTD,16472639,Active,Private limited company,,,2025-05-23,,,32200,15 Park View Tiers Cross Haverfordwest SA62 3BW Wales,SA62 3BW,-5.033818,51.757497
SYNCHRONIC INSTRUMENTS LTD,15469370,Dissolved,Private limited company,,2025-07-22,2024-02-06,,,32200 46491 47591 74100,Normac House 2 Corona Road Cambridge CB4 3EB United Kingdom,CB4 3EB,0.123677,52.215046
ATLAS INSTRUMENTS LIMITED,15668266,Active,Private limited company,,,2024-04-22,,,32200,105 105 Thornsbeach Road London SE6 1EY England,SE6 1EY,-0.009566,51.437198
ELFSPEAR CONCERTINAS LIMITED,16598097,Active,Private limited company,,,2025-07-22,,,32200,60 Liverpool Road West Church Lawton Stoke-On-Trent ST7 3DF England,ST7 3DF,-2.279609,53.098963
CORE GUITARS LTD,11604028,Active,Private limited company,,,2018-10-04,,,32200 46491 47591,38 Benfield Way 38 Benfield Way Portslade Brighton BN41 2DL England,BN41 2DL,-0.207981,50.841921
OX4 LVN LIMITED,16602255,Active,Private limited company,,,2025-07-23,,,32200,59 Poplar Grove Kennington Oxford OX1 5QN England,OX1 5QN,-1.242565,51.71459
JJ CHEROKEE LIMITED,NI667928,Dissolved,Private limited company,,2025-07-29,2020-02-24,,,32200 47591,32 Enterprise House Enterprise Crescent Lisburn BT28 2BP United Kingdom,BT28 2BP,-6.075875,54.51292
İSTANBUL CYMBALS AND MUSIC COMPANY UK LTD,14930054,Dissolved,Private limited company,,2025-07-29,2023-06-12,,,32200 46491 47591,284 Chase Road A Block 2nd Floor London N14 6HF United Kingdom,N14 6HF,-0.126685,51.63353
STUDIO 7 MUSIC REPAIRS LIMITED,14987849,Active,Private limited company,,,2023-07-07,,,32200 33190,6 Leonard Lane Bristol BS1 1EA England,BS1 1EA,-2.595433,51.4546
F-RADIO PRODUCTIONS LIMITED,16581570,Active,Private limited company,,,2025-07-14,,,32200 46491 59200,Apartment 501 Block A 2 Hulme Street Salford M5 4ZB England,M5 4ZB,-2.265127,53.482483
SYNTHESISERS LTD,14845391,Dissolved,Private limited company,,2025-07-22,2023-05-04,,,32200 33140 47591 59200,31 Town Gate Drive Urmston Manchester M41 6ER England,M41 6ER,-2.405796,53.447661
TOL GUITARS LTD,16563873,Active,Private limited company,,,2025-07-07,,,32200,18 Ridgeway Avenue Bideford EX39 1TR United Kingdom,EX39 1TR,-4.226461,51.041988
DB GUITARS LIMITED,SC576017,Dissolved,Private limited company,,2025-08-19,2017-09-11,,,32200,91 Alexander Street Airdrie ML6 0BD United Kingdom,ML6 0BD,-3.990628,55.864433
SWISS PRODUCTION LIMITED,15394530,Active,Private limited company,,,2024-01-08,,,27400 27900 32200,61 Queen's Gate 61 Queen's Gate Flat 9 London SW7 5JP England,SW7 5JP,-0.179521,51.495778
MX GUITARS LTD,16651153,Active,Private limited company,,,2025-08-14,,,32200,20 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
ACOUSTIC CONTROL SYSTEMS LTD,12358248,Dissolved,Private limited company,,2025-08-26,2019-12-11,,,32200,29 South Newbald Road North Newbald York YO43 4SX United Kingdom,YO43 4SX,-0.61737,53.815566
PLINK PLUNK LTD,14960895,Dissolved,Private limited company,,2025-09-02,2023-06-26,,,32200,Flat 3 Sandy Lodge Avenue Road London N6 5DQ England,N6 5DQ,-0.132845,51.574998
AXIOM INNOVATIONS LTD,16705329,Active,Private limited company,,,2025-09-09,,,32200 47910,20 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
JOHN FOX GUITARS LIMITED,14907772,Dissolved,Private limited company,,2025-09-16,2023-06-01,,,16290 32200,15 Ennerdale Drive Walton-Le-Dale Preston PR5 4BX England,PR5 4BX,-2.66314,53.747289
OX4 PICKUPS LIMITED,16715956,Active,Private limited company,,,2025-09-14,,,32200,22 Marriotts Lane Haddenham Aylesbury HP17 8BN England,HP17 8BN,-0.932383,51.771805
VIVID MIDI LIMITED,16725500,Active,Private limited company,,,2025-09-17,,,32200 47591,Greenstones Downside Road Backwell Bristol BS48 3DD England,BS48 3DD,-2.720942,51.390187
HILLMANFX LTD,16722671,Active,Private limited company,,,2025-09-16,,,32200 47430 47910,7 Marcia Road London SE1 5XE England,SE1 5XE,-0.079947,51.490521
NEIL HAYNES LTD,09217668,Active,Private limited company,,,2014-09-15,,,16230 32200 43320,20 Lower Close Bodicote Banbury OX15 4DZ United Kingdom,OX15 4DZ,-1.327632,52.035311
SEVEN INNOVATION AND DESIGN LTD,14147937,Active,Private limited company,,,2022-06-02,,,32200,25 Mandale Park Mount Pleasant Way Stokesley Middlesbrough TS9 5GN England,TS9 5GN,-1.171675,54.463558
BURNS LONDON (HOLDINGS) LTD,02668005,Dissolved,Private limited company,,2023-04-11,1991-12-03,,,32200,"Chancery House, 30 St. Johns Road Woking GU21 7SA England",GU21 7SA,-0.593007,51.312718
HYBRIDA GUITARS LTD,07309004,Dissolved,Private limited company,,2016-05-10,2010-07-08,,,32200,12 Skelton Close London E8 3TJ ,E8 3TJ,-0.072081,51.544771
MORGAN FRY MOUTHPIECES LTD,06878440,Dissolved,Private limited company,,2023-02-21,2009-04-16,,,32200,7 Leeds Road Leeds Road Kippax Leeds LS25 7HG England,LS25 7HG,-1.371243,53.770389
ROLI LTD.,07044888,Dissolved,Private limited company,,2023-12-13,2009-10-15,,,32200 62090,25 Farringdon St London EC4A 4AB ,EC4A 4AB,-0.104403,51.515595
JN&BB LTD,06784417,Dissolved,Private limited company,,2023-02-21,2009-01-07,,,32200 59200 90020 96090,26 Leathwell Road London SE8 4JL ,SE8 4JL,-0.017722,51.467812
PETER HALL VIOLINS LIMITED,12191926,Dissolved,Private limited company,,2019-12-10,2019-09-05,,,32200,14 Norwood Beverley HU17 9EZ United Kingdom,HU17 9EZ,-0.430785,53.845162
ZEBRA MUSIC LIMITED,11787298,Dissolved,Private limited company,,2021-01-19,2019-01-25,,,32200,30 Zetland Road Manchester M21 8TH England,M21 8TH,-2.273899,53.44037
HEN SAMUEL BOW RESTORATION LIMITED,11823375,Dissolved,Private limited company,,2020-10-06,2019-02-12,,,32200,11 Palalwyf Avenue Pontyclun CF72 9EG Wales,CF72 9EG,-3.391182,51.521288
EARTH PICKS LTD,11698285,Dissolved,Private limited company,,2021-03-16,2018-11-27,,,32200 47591,19 Winchester Road Romsey SO51 8AB United Kingdom,SO51 8AB,-1.491659,50.989231
DOUGLAS SHEPHERD BAGPIPE REEDS LTD,SC687767,Dissolved,Private limited company,,2022-07-05,2021-02-01,,,32200,67 Station Road Cardenden KY5 0BP United Kingdom,KY5 0BP,-3.260883,56.142656
WD MANAGMENT MCR LTD,13201823,Dissolved,Private limited company,,2022-07-19,2021-02-15,,,32200,623a Stockport Road Manchester M12 4QA United Kingdom,M12 4QA,-2.195724,53.453826
UNIT 9 DESIGN LTD,11175414,Dissolved,Private limited company,,2020-09-22,2018-01-29,,,31090 32200,Unit 9 Newburn Bridge Industrial Estate Hartlepool TS25 1TZ United Kingdom,TS25 1TZ,-1.201254,54.6771
STONE DEAF LTD,11179650,Dissolved,Private limited company,,2020-03-17,2018-01-31,,,32200,35 Pennine Vale Shaw Oldham OL2 8DH England,OL2 8DH,-2.086586,53.583532
BAREFOOT GUITARS LIMITED,11259011,Dissolved,Private limited company,,2019-08-20,2018-03-16,,,32200,Unit 4t-3 Halas Indsutrial Estate Forge Lane Halesowen B62 8EB United Kingdom,B62 8EB,-2.045245,52.454994
CONCERT PITCH LTD,11295577,Dissolved,Private limited company,,2023-05-09,2018-04-06,,,32200 33190 47591 95290,53 Bentley Road Willesborough Ashford TN24 0HR United Kingdom,TN24 0HR,0.892987,51.136383
SW GUITARS LTD.,10577275,Dissolved,Private limited company,,2019-08-06,2017-01-23,,,32200,16 Molivers Lane Bromham Bedford MK43 8JT United Kingdom,MK43 8JT,-0.528559,52.152241
NICCOBENNAGUITARS LTD,10055852,Dissolved,Private limited company,,2018-06-05,2016-03-10,,,32200,179 Chingford Road Kingstanding Birmingham B44 0BL United Kingdom,B44 0BL,-1.877134,52.539005
MUSICIANS&OBOE LTD,11385891,Dissolved,Private limited company,,2019-11-05,2018-05-29,,,32200,Curzon Gateway 36. Curzon Street Birmingham B4 7XE United Kingdom,B4 7XE,-1.882078,52.482867
NGI RECORDZ LIMITED,13501054,Dissolved,Private limited company,,2023-01-03,2021-07-08,,,32200 90030,11 Wyville Close Nottingham NG7 3AR United Kingdom,NG7 3AR,-1.175203,52.958219
LUTHIER CRAFTS LIMITED,14002790,Dissolved,Private limited company,,2024-04-09,2022-03-25,,,32200,Unit 6 Front Street Industrial Estate Shotton Colliery Durham DH6 2ND England,DH6 2ND,-1.382907,54.763668
DANEMANN GROUP HOLDINGS LTD,13919495,Dissolved,Private limited company,,2023-07-25,2022-02-16,,,32200 46491 47591 47910,Churchill House 142-146 Old Street London EC1V 9BW United Kingdom,EC1V 9BW,-0.091296,51.525032
STEELPANSCIENTISTS LIMITED,13567249,Dissolved,Private limited company,,2023-02-07,2021-08-16,,,32200,21 Stock Street London E13 0BX England,E13 0BX,0.020455,51.529203
PLAY ALL DAY LTD,13570140,Dissolved,Private limited company,,2023-08-22,2021-08-17,,,32200 47810 47910 70229,41 Hollignbury Park Avenue Brighton BN1 7JG United Kingdom,BN1 7JG,-0.134161,50.84482
AMPLIFY REPAIRS LTD,13823770,Dissolved,Private limited company,,2023-06-27,2021-12-31,,,32200 90020,"Studio 32, 100, Challenge Works Arundel Street Sheffield S1 4FL United Kingdom",S1 4FL,-1.469317,53.376489
VERADOR RETAIL LTD,14198614,Dissolved,Private limited company,,2023-11-28,2022-06-27,,,14390 15110 32200 32300,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
BABEL PROJECT MUSIC LTD,13455019,Dissolved,Private limited company,,2022-12-20,2021-06-14,,,32200 56290 59200 85590,40 Oswald Road Scunthorpe DN15 7PQ England,DN15 7PQ,-0.653604,53.589326
LANCASTER HARPMAKERS LTD,12921019,Dissolved,Private limited company,,2022-12-20,2020-10-02,,,32200 46491 47591,22 Park Road Lancaster LA1 3EJ England,LA1 3EJ,-2.789297,54.048122
UNLIMITEDMUSIC LTD,SC722138,Dissolved,Private limited company,,2023-07-11,2022-02-05,,,32200 46499 47630 59200,251 Glasgow Road Blantyre Glasgow G72 0YS Scotland,G72 0YS,-4.093499,55.794055
KONO GUITARS LTD,14264895,Dissolved,Private limited company,,2024-01-02,2022-07-29,,,32200,Flat 1 Kings Quarter 80 Orme Road Worthing BN11 4FG England,BN11 4FG,-0.381701,50.818369
SYNCHRONIC INSTRUMENTS LTD,14282116,Dissolved,Private limited company,,2024-01-09,2022-08-08,,,32200 47591,Normac House 2 Corona Road Cambridge CB4 3EB United Kingdom,CB4 3EB,0.123677,52.215046
BE WITH MUSIC LTD,14115621,Dissolved,Private limited company,,2023-10-24,2022-05-18,,,32200,790 Longbridge Road Dagenham RM8 2AA England,RM8 2AA,0.122492,51.550997
WOOLRELATRA LTD,14143405,Dissolved,Private limited company,,2023-11-07,2022-05-31,,,32200,35c Dickens Road London E6 3BX United Kingdom,E6 3BX,0.043976,51.530306
COTTRELL INSTRUMENT SERVICES LTD,07890706,Dissolved,Private limited company,,2014-08-05,2011-12-22,,,32200,Unit 15 Thompson Road Whitehills Business Park Blackpool FY4 5PN England,FY4 5PN,-2.987717,53.791602
KINETIC PROMOTIONS (UK) LIMITED,06510466,Dissolved,Private limited company,,2013-07-02,2008-02-20,,,32200,Jecalma Tax + Accounting Ltd College House 17 King Edwards Road HA4 7AE ,HA4 7AE,-0.428217,51.574559
MUSIC PODCASTS NET LTD,14398057,Dissolved,Private limited company,,2024-03-12,2022-10-04,,,32200,790 Longbridge Road Dagenham RM8 2AA United Kingdom,RM8 2AA,0.122492,51.550997
MILTRON MUSICAL ELECTRONICS LTD,13057138,Dissolved,Private limited company,,2021-06-22,2020-12-02,,,32200 47591 95210,605 Mauldeth Road West Chorlton Cum Hardy Manchester M21 7SA England,M21 7SA,-2.268613,53.432741
DRRRECORDS LTD,13039087,Dissolved,Private limited company,,2022-04-26,2020-11-24,,,32200,86-90 Paul Street London EC2A 4NE United Kingdom,EC2A 4NE,-0.083602,51.525617
AUDIO FOUNDRY LTD,12979426,Dissolved,Private limited company,,2021-10-05,2020-10-28,,,32200 47591 47630 59200,71-75 Shelton Street London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
MMKELLIE RECORDING STUDIOS LTD,12979552,Dissolved,Private limited company,,2022-04-05,2020-10-28,,,32200,68 Tannoy Square London SE27 9SG United Kingdom,SE27 9SG,-0.09109,51.428221
UPSTROKE GUITARS UK LTD,12623891,Dissolved,Private limited company,,2022-03-01,2020-05-26,,,32200 46491 47591,8 Molyneux Street London W1H 5HP England,W1H 5HP,-0.164851,51.518103
LUTHIER OUD HAMID LIMITED,12635764,Dissolved,Private limited company,,2023-05-23,2020-05-30,,,32200,113 Great Ganett Welwyn Garden City AL7 3DD United Kingdom,AL7 3DD,-0.170783,51.791485
TONE FACTORY LTD,12604637,Dissolved,Private limited company,,2022-10-18,2020-05-15,,,32200,3 Sunfield Estate Diggle Oldham OL3 5PS England,OL3 5PS,-1.998073,53.567753
ARCANE GUILD LTD,12856154,Dissolved,Private limited company,,2021-03-16,2020-09-03,,,32200 70100 70229,Studio 210 134-146 Curtain Road London EC2A 3AR England,EC2A 3AR,-0.080053,51.526359
YENDEEZY LIMITED,12853591,Dissolved,Private limited company,,2022-02-08,2020-09-02,,,32200,1 Rostella Road London SW17 0HY England,SW17 0HY,-0.176403,51.430551
CHESHIRE POLYPHON CENTRE LIMITED,04084723,Dissolved,Private limited company,,2013-11-26,2000-10-05,,,32200,"The Manor House Church End, Hale Village Cheshire L24 4AX ",L24 4AX,-2.797919,53.334142
POSITIVE RHYTHM LIMITED,04100789,Dissolved,Private limited company,,2012-09-11,2000-11-02,,,32200,"C/O Price & Company 30/32 Gildredge Road, Eastbourne East Sussex BN21 4SH ",BN21 4SH,0.281683,50.766665
RETROSOUL PICKUPS LTD,SC654421,Dissolved,Private limited company,,2021-05-11,2020-02-13,,,32200,16 Castle Douglas Road Dumfries DG2 7NX ,DG2 7NX,-3.628051,55.065001
CROSS BAGPIPES LTD,SC655388,Dissolved,Private limited company,,2020-09-22,2020-02-24,,,32200,1 The Glebe Clackmannan FK10 4JJ Scotland,FK10 4JJ,-3.753542,56.106273
COOPER HALL LIMITED,10377844,Dissolved,Private limited company,,2018-02-27,2016-09-15,,,32200,"2nd Floor, Kobe House 24-26 Charles Street Leicester LE1 3FG United Kingdom",LE1 3FG,-1.130083,52.636763
NICKS PICKS LTD,10309073,Dissolved,Private limited company,,2018-11-13,2016-08-03,,,32200,36a Northwood End Rd 36a Northwood End Rd Haynes MK45 3QB United Kingdom,MK45 3QB,-0.393757,52.064865
NOISE ORCHESTRA LIMITED,10311898,Dissolved,Private limited company,,2022-09-20,2016-08-04,,,32200,51 Conmere Square Hulme Manchester M15 6DE England,M15 6DE,-2.242755,53.470072
MATHESON OF BLACKDOWN LTD.,10026272,Dissolved,Private limited company,,2020-09-29,2016-02-25,,,32200,19 Hazelwood Close Honiton EX14 2XA ,EX14 2XA,-3.190868,50.789163
HOT BRASS LTD,10027243,Dissolved,Private limited company,,2024-04-16,2016-02-25,,,32200,76 Catherine Way Batheaston Bath BA1 7PA England,BA1 7PA,-2.31647,51.410888
